symbol	Control_1	Control_2	MSC_1	MSC_2	MSC_3	Control_1
LOC100133461	0	0	0	0	0	0
LOC100133669	2	0	0	0	0	1
LOC100133920	0	0	0	0	0	0
LOC100133985	2	1	2	0	3	1
LOC100134317	0	0	0	0	0	0
LOC100134368	5	9	5	5	4	2
LOC100134391	1	0	0	0	1	0
LOC100134868	8	17	16	7	6	7
LOC100144595	0	0	0	1	0	2
LOC100147773	2	10	4	4	10	3
LOC100190940	0	0	0	0	0	0
LOC100190986	411	945.01	462.96	751.05	441.97	609.77
LOC100192426	0	0	0	0	0	0
LOC100233156	12.13	9.31	7.22	0	19.96	0
LOC100240728	0	0	0	0	0	0
LOC100240734	3	4	0	0	1	2
LOC100240735	24.08	21	18	3	7	11
LOC100268168	4	3.33	1	4	5.45	9
LOC100270746	0	0	0	0	0	0
LOC100270804	84	139.82	55	59	78	77
LOC100271832	0	0	0	0	0	0
LOC100272216	12.77	13.36	1.74	76.63	8.15	80.82
LOC100272217	21	33	24	10	32	22
LOC100286922	0	0	0	0	0	0
LOC100287010	0	0	0	0	0	0
LOC100287015	90	101	46	44	66	55
LOC100287036	0	0	0	0	0	0
LOC100287042	91.86	85.94	35.98	25.89	70.51	45.69
LOC100287072	3	3	0	2	1	1
LOC100287225	0	1	0	0	2	1
LOC100287592	0	0	0	0	0	0
LOC100287632	0	0	0	0	1	0
LOC100287704	0	0	0	0	0	0
LOC100287728	0	0	0	0	0	0
LOC100287792	0	2.06	1	0	0	1
LOC100287834	0	0	0	0	0	0
LOC100287846	2	0	1	0	1	0
LOC100287944	0	0	0	0	0	0
LOC100288069	131.31	298.61	163.83	118.76	104.21	140.07
LOC100288123	20	55	31	26	23	28
LOC100288152	38	133	91	45	35	53
LOC100288162	25.56	73.25	34.74	36.44	22.02	36.7
LOC100288181	0	0	0	0	0	0
LOC100288254	4	5	4	5	4	4
LOC100288570	0	0	0	0	0	0
LOC100288637	474	400	268	247	401	333
LOC100288748	0	0	0	0	0	2
LOC100288778	729.71	1167.04	800.35	561.26	719.8	630.08
LOC100288798	7	10	3	1	7	2
LOC100288842	20	18	12	6	14	6
LOC100288846	4	10.99	6	8	12	7
LOC100288866	1	0	0	0	0	0
LOC100288911	0	0	0	0	0	0
LOC100288966	0	0	0	0	0	0
LOC100289230	155	191	109	104	111	124
LOC100289333	0	0	0	0	0	0
LOC100289361	6	10	2.02	1	5	0
LOC100289473	0	0	0	0	0	0
LOC100289495	4	7	5	6	3	7
LOC100289511	6.15	29.02	14.43	15.38	8.28	12.37
LOC100289561	195.29	379.42	241.53	214.7	252.96	272.18
LOC100289580	20.05	11.02	5.02	6.01	4.01	3.01
LOC100289650	0	0	0	0	0	0
LOC100289656	0	0	0	0	0	0
LOC100289673	0	0	0	0	0	0
LOC100294145	358	256.98	170	235	292	276.11
LOC100294362	38.38	79.94	47	53	64	35
LOC100303749	0	0	0	0	0	0
LOC100335030	15.92	32.64	14.83	9.54	11.94	13.01
LOC100379224	2.51	12.46	24.12	15.56	12.08	4.75
LOC100419583	1312	1445	892	766	1151	1060
LOC100420587	0	2	0	0	0	0
LOC100421746	0	0	0	0	0	0
LOC100422212	0	0	0	0	0	0
LOC100422556	1	1	0	1	0	0
LOC100422737	0	0	0	0	0	0
LOC100499194	1	1	0	0	0	1
LOC100499484	18.47	41.19	15.82	33.9	27.33	25.51
LOC100499484-C9ORF174	66.49	68.93	85.77	73.1	101.67	68.19
LOC100499489	70	49	30	31	54	50
LOC100500773	0	0	0	0	0	0
LOC100505478	4	1	0	0	0	0
LOC100505515	0	0	0	0	0	0
LOC100505530	74	68	59	16	85	22
LOC100505549	132.79	143.51	87	78	117	111
LOC100505622	22	19	9	6	23	11
LOC100505625	1	1	0	2	4	1
LOC100505635	0	0	0	0	0	0
LOC100505658	1	2	1	1	1	0
LOC100505666	11.02	30.87	14	10.07	9	14.01
LOC100505715	2	8	7	6	5	11
LOC100505716	5	4	3	4	5	3
LOC100505736	3	0	0	0	0	0
LOC100505739	0	0	0	0	0	0
LOC100505782	0	0	0	0	0	0
LOC100505795	0	0	0	0	0	0
LOC100505811	0	0	0	0	0	0
LOC100505817	0	1	0	0	0	0
LOC100505841	0	0	0	0	0	0
LOC100505878	0	0	0	0	0	0
LOC100505887	0	0	0	0	0	0
LOC100505912	0	0	0	0	0	0
LOC100505915	111	216	135.55	163.5	123	152
LOC100505918	0	1	0	0	0	0
LOC100505920	0	0	1	1	0	0
LOC100505921	8	6	4	5	8	5
LOC100505938	0	0	0	0	0	0
LOC100505942	1	4	2	1	1	1
LOC100505978	0	1	0	0	3	0
LOC100505984	0	0	0	0	0	0
LOC100506022	2	3	1	0	0.99	0
LOC100506023	35	52	33	24	29	43
LOC100506071	1.48	0	0	0	0	0
LOC100506076	11.85	0	0	7.8	2.21	5.38
LOC100506082	1	0	0	0	0	0
LOC100506083	21.36	14	8	11	15.98	4
LOC100506085	5	2	3	2.95	3	4.62
LOC100506100	86	90	56	40	76	51
LOC100506122	0	0	0	0	0	0
LOC100506123	172.17	525.34	237	220.53	193.79	261.59
LOC100506124	5	25	8	9	10	14
LOC100506125	0	0	0	0	0	0
LOC100506127	112.05	185.45	91.48	70	105.97	113.98
LOC100506136	0	0	0	0	0	1
LOC100506142	1	0	0	0	0	0
LOC100506159	0	0	0	0	0	0
LOC100506175	0	0	0	0	0	0
LOC100506178	2	1	5	7	2	5
LOC100506188	0	0	0	0	0	0
LOC100506207	2	2	0	0	0	0
LOC100506258	7	11	10	2	7	9
LOC100506271	0	0	0	0	0	0
LOC100506272	0	0	0	0	0	0
LOC100506274	0	0	0	0	0	0
LOC100506281	0	0	0	0	0	0
LOC100506302	90	91.44	56.91	58.81	79.97	47
LOC100506314	3	8	11	10	3	3
LOC100506321	0	1	1	2	2	2
LOC100506368	0	0	0	0	0	0
LOC100506371	0	0	0	0	0	0
LOC100506384	0	0	0	0	0	0
LOC100506388	0	3	3	0	0	2
LOC100506393	0	0	0	0	0	0
LOC100506403	0	0	0	0	0	0
LOC100506406	0	0	0	0	0	0
LOC100506422	0	0	0	0	0	0
LOC100506444	0	0	0	0	0	0
LOC100506457	0	0	0	0	0	0
LOC100506470	0	0	0	0	0	0
LOC100506472	56	107.74	46	38.16	68.98	45
LOC100506474	0	0	0	0	0	0
LOC100506476	10.01	76	28	8	5	12
LOC100506497	0	0	0	0	0	0
LOC100506499	13.57	4.11	0	0	0	7.98
LOC100506526	0	0	0	0	0	0
LOC100506548	339	522.58	307	267	268	323.02
LOC100506551	0	5.09	8	3	2	1
LOC100506585	0	0	0	0	0	0
LOC100506603	55.92	112.91	62.56	56.3	44.76	45.83
LOC100506606	24.67	35.24	14	13	27.21	21
LOC100506639	92	157.99	69	88.09	77.01	103.85
LOC100506674	3	2	0	0	4	4
LOC100506675	0	0	0	0	0	0
LOC100506679	0	4.22	0	2.09	1.04	4.26
LOC100506682	0	0	0	0	0	0
LOC100506688	12.99	40	26	10	19	11
LOC100506700	0	0	0	0	0	0
LOC100506725	0	0	0	0	0	0
LOC100506730	26	26	18	10	21	10
LOC100506746	24	17	6	14	19	18
LOC100506747	2	0	1	0	5	0
LOC100506790	0	0	0	0	0	0
LOC100506801	44	88	44	31	31	48
LOC100506804	11	8	6	7	9	13
LOC100506834	2	0	0	2	1	3
LOC100506844	125	54	36	26	78	39
LOC100506858	0	0	0	0	0	0
LOC100506860	0	2	1	1	1	1
LOC100506869	0	0	0	0	0	0
LOC100506895	0	0	0	0	0	0
LOC100506985	105	268	135	144	61	190
LOC100506990	42	116	64	60	39	92
LOC100507002	13	2	6	4	12	2
LOC100507006	4	6	3	2	4	4
LOC100507053	3	13	7	5	8	7
LOC100507065	0	0	0	0	0	0
LOC100507073	0	0	0	0	0	0
LOC100507091	0	0	0	0	0	0
LOC100507140	0	0	1	0	0	0
LOC100507144	3	7	1	1	4	2
LOC100507156	1	0	2	2	0	0
LOC100507175	1.01	6.91	0	2	2	4.99
LOC100507194	0	0	0	0	0	0
LOC100507195	31	7	7	3	36	0
LOC100507201	0	0	0	0	0	0
LOC100507205	0	0	0	0	0	0
LOC100507250	10	27	19	13	15	18
LOC100507283	4.38	10	1	2	6	3
LOC100507291	6	3	3	0	1	4
LOC100507316	6	27	9	8	7	8
LOC100507334	0	0	0	0	0	0
LOC100507346	1.12	0	0	1.23	3.35	1.04
LOC100507351	0	0	0	0	0	0
LOC100507373	48	72	34	51	65	59
LOC100507377	0	0	0	0	0	0
LOC100507384	0	0	0	0	0	0
LOC100507387	4.98	2	0	2	2	5
LOC100507388	0	0	0	0	0	0
LOC100507389	0	0	0	0	0	0
LOC100507391	0	0	0	0	0	0
LOC100507406	2	0	0	0	0	0
LOC100507412	309.01	518.97	260.64	208	233.63	343.58
LOC100507420	0	0	0	0	0	0
LOC100507424	15.86	47.69	25.26	20.59	21.99	19.1
LOC100507431	1	1	1	1	0	1
LOC100507437	8	4	10	4	5	0
LOC100507443	0	0	0	0	0	0
LOC100507462	5	4	2	1	5	3
LOC100507468	0	0	0	0	0	0
LOC100507472	0	0	0	0	0	0
LOC100507477	0	0	0	0	0	0
LOC100507487	1	3	2	2	1	0
LOC100507506	10	3	0	1	16	5
LOC100507530	0.78	10	4.01	0	0	1
LOC100507534	0	0	0	0	0	0
LOC100507537	0	0	0	0	0	0
LOC100507547	5.32	5.54	2	3	2	2
LOC100507557	15.07	22.01	26.47	6.5	13.14	21.56
LOC100507564	1.04	9.47	1.2	3.36	2.35	5.69
LOC100507577	58.75	185.85	69.88	128	59.11	161.26
LOC100507600	1	1	0	2	5	2
LOC100507634	16	5	8	11	17	10
LOC100507639	0	2	0	0	0	0
LOC100507642	4	35	17	10	2	27
LOC100507651	0	0	0	0	0	0
LOC100507661	0	0	0	0	0	0
LOC100508046	0	0	0	0	0	0
LOC100630923	244.16	395.44	215.31	344.25	260.18	458.44
LOC100631378	0	0	0	0	0	0
LOC100652758	18	32	14	13	13	14
LOC100652768	67.58	211.9	99.82	109	93	155.44
LOC100652931	0	0	0	0	0	0
LOC100652999	3.12	7.23	0	0	0	0
LOC100996249	0	0	0	0	0	0
LOC100996251	7	11	6	5	7	9
LOC100996255	15	34	20	20	14	24
LOC100996263	0	0	0	0	0	0
LOC100996286	224.33	129	88	12	206	19
LOC100996291	4.38	12.99	8.98	2.98	3.29	3
LOC100996324	1	8	10	4	6	4
LOC100996325	0	0	3	0	0	0
LOC100996338	0	0	0	0	0	0
LOC100996342	0	0	0	0	0	0
LOC100996348	0	0	0	0	0	1
LOC100996349	0	0	0	0	0	0
LOC100996351	6	5	7	5	3	8
LOC100996385	1	1	0	0	5	1
LOC100996437	0	8	5	5	2	2
LOC100996447	21	18	7	3	16	14
LOC100996455	0	0	0	0	0	0
LOC100996579	100	36	24	15	63	27
LOC100996583	18	30	17	23	14	13
LOC100996634	1	1	1	2	3	0
LOC100996635	0	0	0	0	0	0
LOC100996654	1	1	0	0	0	0
LOC100996671	0	0	0	0	0	0
LOC100996679	0	0	0	0	0	0
LOC100996693	0	0	0	0	0	1
LOC100996694	0	0	0	0	0	0
LOC100996758	0	0	0	0	0	0
LOC101054525	0	0	0	0	0	0
LOC101059948	1	0	0	0	0	0
LOC101060019	0	0	0	0	0	0
LOC101060091	4	6	2	4	1	4
LOC101060321	0	10.94	0	0	0	0
LOC101060385	0	0	0	0	0	0
LOC101060389	0	169.82	113.81	164.81	0	253.73
LOC101060498	0	1	0	0	0	0
LOC101060524	0	0	0	0	0	0.5
LOC101060542	0	0	0	0	0	0
LOC101060553	0	0	0	1	2	0
LOC101241902	4	6	3	4	2	3
LOC101243545	0	0	0	0	0	0
LOC101409256	4.12	20.9	3	5	7.26	7
LOC101448202	0	0	0	0	0	0
LOC101559451	4	1	1	0	1	0
LOC101593348	35	22.06	13	12.05	33.17	18
LOC101805491	0	0	0	0	0	0
LOC101926889	38.08	78.54	39.72	36.86	27.06	37.3
LOC101926892	5	7.93	7	0	3	2
LOC101926897	0	3	1	0	0	0
LOC101926898	79.51	118.5	60	56.28	61	71.51
LOC101926905	0	0	0	0	0	0
LOC101926908	0	0	0	0	0	0
LOC101926911	1	3	2.5	2.83	1	3
LOC101926913	0	0	0	0	0	0
LOC101926915	0	1	0	0	1	0
LOC101926926	2	3	0	6	0	4
LOC101926928	0	3	0	2	0	1
LOC101926933	1	5	1	0	1	1
LOC101926935	1	3	6	1	5	4
LOC101926940	0	0	0	0	0	0
LOC101926941	0	0	0	0	0	0
LOC101926942	0	0	0	0	0	0
LOC101926943	0	0	0	0	0	0
LOC101926944	0	0	1	0	0	0
LOC101926955	0	1	0	0	0	0.45
LOC101926960	1.95	1	0	1	0	0
LOC101926962	0	0	0	0	0	0
LOC101926963	95	110	53	40	101	47
LOC101926964	1	0	0	0	0	0
LOC101926966	0	0	0	0	0	0
LOC101926975	0	0	0	0	0	0
LOC101927003	0	2	0	1	0	0
LOC101927018	4	5	0	2	0	0
LOC101927020	0	0	0	0	0	0
LOC101927021	61	37	29	24	63	25
LOC101927023	0	0	0	0	0	0
LOC101927027	202	210.98	133	146	188.46	143
LOC101927040	0	0	2	0	0	0
LOC101927043	0	0	0	0	0	0
LOC101927045	63	57	33	20	49.05	37
LOC101927048	0	0	0	0	0	0
LOC101927051	11.02	9.01	9.03	9	14.04	8.01
LOC101927053	3	0	1	0	0	0
LOC101927055	0	0	0	0	0	0
LOC101927056	0	0	1	1	0	0
LOC101927058	0	0	0	0	0	0
LOC101927062	0	0	0	0	0	0
LOC101927066	0	0	1	0	0	0
LOC101927067	0	0	0	0	0	0
LOC101927069	3	7	5	3	4	4
LOC101927070	79	91	45	38	77	70
LOC101927078	0	0	0	0	0	0
LOC101927079	0	0	0	0	0	0
LOC101927081	0	0	0	0	0	0
LOC101927082	0	0	0	0	0	0
LOC101927087	0	0	0	0	0	0
LOC101927100	0	2.3	2.88	0	3.85	2.31
LOC101927115	0	0	0	0	0	0
LOC101927120	0	0	0	0	0	0
LOC101927123	0	0	0	0	0	0
LOC101927124	3	6	4	2	3	5
LOC101927131	1.98	1	0	1	1.99	5
LOC101927132	0	0	0	1	0	0
LOC101927136	2	1	1	1	3	1
LOC101927139	0	0	0	0	0	0
LOC101927142	0	0	0	0	0	0
LOC101927143	0	1	0	0	0	0
LOC101927151	120	129	68.99	93	111	111.96
LOC101927153	0	0	0	0	0	0
LOC101927156	31.99	12	5	9	10	15
LOC101927157	3	8	2	4	2	0
LOC101927159	0	0	0	0	0	0
LOC101927164	1.05	1.05	0	0	1.04	4.11
LOC101927166	0	0	2	1	2	0
LOC101927178	0	0	1.49	4.25	2.61	1.48
LOC101927179	0	0	0	0	0	0
LOC101927181	171.01	116.13	69.97	82	168.17	118
LOC101927188	0	0	0	0	0	0
LOC101927189	0	0	0	0	0	0
LOC101927190	0	0	0	0	0	1
LOC101927196	0	0	0	0	0	0
LOC101927204	159	167	104	97	145	106
LOC101927207	0	0	0	0	0	0
LOC101927211	0	0	0	2	0	0
LOC101927221	7	21	12	17	10	14
LOC101927229	0	0	0	0	0	0
LOC101927230	0	0	0	0	0	0
LOC101927237	1	0	0	0	0	1
LOC101927239	0	0	0	0	0	0
LOC101927243	0	0	0	0	0	0
LOC101927244	0	0	0	0	0	0
LOC101927248	0	0	0	0	0	0
LOC101927257	1	1	2.01	1	1	3
LOC101927267	0	1	0	0	0	0
LOC101927269	0	0	0	0	0	0
LOC101927272	5.71	3.39	0	2.25	3.51	1.12
LOC101927273	0	0	0	0	0	0
LOC101927274	1.31	3.76	3.01	1	2	6
LOC101927280	0	0	0	0	0	0
LOC101927282	0	0	0	0	0	0
LOC101927284	0	0	0	0	0	0
LOC101927285	0	0	0	0	1	0
LOC101927286	0	0	0	0	0	1
LOC101927292	0	0	0	0	0	0
LOC101927296	0	0	0	0	0	0
LOC101927305	0	0	0	0	0	0
LOC101927310	0	0	0	0	0	0
LOC101927311	0	0	0	0	0	0
LOC101927314	0	0	0	0	0	0
LOC101927318	0	0	0	0	0	0
LOC101927322	8.31	2.4	5.07	3.6	1.21	2.35
LOC101927334	0	0	0	0	0	0
LOC101927342	0	0	0	0	0	0
LOC101927348	0	0	0	0	0	0
LOC101927354	1	1	0	2	0	1
LOC101927356	0	0	0	0	0	0
LOC101927358	0	0	0	0	0	0
LOC101927359	0	3	0	0	1	0
LOC101927365	17	22	15	5	20	17
LOC101927374	137.84	200.76	101.14	145.4	128.97	123.63
LOC101927378	0	0	0	0	0	0
LOC101927379	0	0	0	0	0	0
LOC101927391	2	5	4	9	6	2
LOC101927394	0	0	0	1	0	0
LOC101927406	0	0	0	0	0	0
LOC101927410	0	0	0	0	0	0
LOC101927411	0	0	0	0	0	0
LOC101927412	0	0	0	0	0	0
LOC101927415	13	38	11	11	13	10
LOC101927416	0	0	0	0	0	0
LOC101927418	0	0	0	0	0	0
LOC101927419	0	2	0	0	1	4
LOC101927421	0	0	0	0	0	0
LOC101927431	0	0	0	0	0	0
LOC101927434	0	0	0	0	0	0
LOC101927437	0	0	0	0	0	0
LOC101927438	0	0	0	1	0	1
LOC101927446	0	0	0	0	0	0
LOC101927450	0	0	0	0	0	0
LOC101927459	0	0	0	0	0	0
LOC101927460	0	0	0	0	0	0
LOC101927464	0	0	0	0	0	0
LOC101927468	0	0	0	0	0	0
LOC101927472	0	0	0	1	0	0
LOC101927476	6.96	17.42	6.01	0	17.18	11.29
LOC101927478	0	0	0	0	0	0
LOC101927481	0	0	0	0	0	0
LOC101927482	197	336	270	111	183	110
LOC101927487	0	0	0	0	0	0
LOC101927488	0	0	0	0	0	0
LOC101927492	0	0	0	0	0	1.02
LOC101927495	0	0	0	0	0	0
LOC101927497	1	0	0	0	0	0
LOC101927501	0	0	0	0	0	0
LOC101927502	0	0	0	0	0	0
LOC101927523	0	0	0	0	0	0
LOC101927526	0	0	0	0	0	0
LOC101927539	0	1	0	1	0	1
LOC101927543	2	4	1	3	3	1
LOC101927549	0	0	0	0	0	0
LOC101927550	76	145.21	69	92	84.33	103.54
LOC101927557	0	0	0	0	0	0
LOC101927560	0	0	1	0	0	0
LOC101927571	0	0	0	0	1	0
LOC101927572	5	1	1	2	6	3
LOC101927575	0	0	0	0	0	0
LOC101927577	0	0	0	0	0	0
LOC101927580	0	0	0	0	0	0
LOC101927583	0	0	0	0	0	0
LOC101927587	1	5	0	1	1	0
LOC101927588	4	2.56	5	1	6.24	5
LOC101927592	0	0	0	0	0	0
LOC101927604	0	0	0	0	0	0
LOC101927616	0	0	0	0	0	0
LOC101927619	0	0	0	0	0	0
LOC101927620	0	1	0	0	0	2
LOC101927623	0	0	0	0	0	0
LOC101927630	0	0	0	0	0	0
LOC101927636	0	4	1	0	0	0
LOC101927637	0	0	0	0	0	0
LOC101927640	0	0	0	0	0	0
LOC101927641	0	0	0	0	0	0
LOC101927650	0	0	0	0	0	0
LOC101927651	0	0	0	0	0	0
LOC101927653	0	0	0	0	0	0
LOC101927657	0	0	0	0	0	0
LOC101927661	0	0	0	0	0	0
LOC101927666	1	5.91	3.52	1.94	3	3
LOC101927668	0	0	0	0	0	0
LOC101927683	0	0	0	0	0	0
LOC101927686	0	0	0	0	0	0
LOC101927691	0	2	0	0	0	0
LOC101927692	0	2	0	0	5	1
LOC101927694	0	0	0	0	0	0
LOC101927697	0	0	1	0	1	0
LOC101927701	0	0	0	0	0	0
LOC101927708	0	0	1	2	0	0
LOC101927709	0	0	0	0	0	0
LOC101927730	0	0	0	0	0	0
LOC101927735	0	0	0	0	0	0
LOC101927740	7	3.16	6	1	3	7
LOC101927746	0	2	1	0	1	0
LOC101927755	12.05	33.3	18.25	24.18	18.05	27.06
LOC101927762	0	0	0	0	0	0
LOC101927765	50	76	48	20	48	34
LOC101927766	0	0	0	0	0	0
LOC101927768	1	0	0	0	0	0
LOC101927769	0	0	0	0	0	0
LOC101927770	5	5	5	5	4	8
LOC101927780	1	1	1	1	3	1
LOC101927787	0	0	0	0	0	0
LOC101927795	2	2	0	0	0	1
LOC101927797	13	32	12	11	15	11
LOC101927798	0	0	0	0	0	0
LOC101927811	0	1	0	2	2	1
LOC101927814	0	1	0	0	2	1
LOC101927815	0	0	1	1	0	0
LOC101927817	0	2	0	1	0	0
LOC101927822	0	0	0	0	0	0
LOC101927827	2	0	0	3	2	4
LOC101927829	0	0	0	0	0	0
LOC101927830	4	0	1	0	0	2
LOC101927835	0	0	0	0	0	0
LOC101927839	0	0	0	1	1	0
LOC101927843	0	0	0	0	0	0
LOC101927844	0	1	1	0	1	0
LOC101927845	0	0	1	0	0	0
LOC101927847	0	0	0	0	0	0
LOC101927849	0	0	0	0	0	0
LOC101927851	0	1	0	0	0	0
LOC101927854	0	0	0	0	0	0
LOC101927865	1	2	1	0	1	1
LOC101927869	0	0	0	0	0	0
LOC101927870	0	0	0	0	0	0
LOC101927876	0	0	0	0	0	1
LOC101927881	0	0	0	0	0	0
LOC101927884	0	0	0	0	0	0
LOC101927901	1	2	1	1	0	0
LOC101927905	2	5	2	2	8	0
LOC101927907	0	0	0	0	0	0
LOC101927911	1	0	0	1	1	0
LOC101927914	0	0	0	0	0	0
LOC101927915	0	0	0	0	0	0
LOC101927919	2	0	0	1	1	0
LOC101927924	0	0	0	0	0	0
LOC101927926	0	0	0	0	0	0
LOC101927932	1	3	0	0	0	0
LOC101927934	0	0	0	0	0	0
LOC101927948	0	0	0	0	0	0
LOC101927950	0	0	0	0	0	2
LOC101927954	13	35	9.36	15	9	19
LOC101927964	1	3	1	4	1	1
LOC101927967	0	0	0	0	0	0
LOC101927969	0.95	2	1	0	0	0
LOC101927972	0	0	0	0	0	0
LOC101927973	1	2	1	1	0	3
LOC101927987	0	0	0	0	0	0
LOC101927990	0	0	0	0	0	0
LOC101928002	0	0	1	1	0	0
LOC101928008	0	0	0	0	0	0
LOC101928009	0	0	0	0	0	0
LOC101928012	0	0	0	0	0	0
LOC101928020	14	25	19	9	24	6
LOC101928030	0	0	0	0	0	0
LOC101928034	1	3	5	5	4	2
LOC101928035	0	0	0	0	0	0
LOC101928036	0	0	0	0	0	0
LOC101928043	2	1	3	0	1	1
LOC101928048	0	0	0	0	0	0
LOC101928052	0	0	0	0	0	0
LOC101928053	5	20	9	6.15	0	5
LOC101928063	2.57	3.27	0	1.46	1.58	4.7
LOC101928068	30	28	25	24	17	19
LOC101928069	39.36	31.98	16.86	20.08	21.7	26.8
LOC101928075	0	3	1	0	0	3
LOC101928093	0	1	1	0	0	0
LOC101928100	4	12	9	9	12	10
LOC101928103	5	1	1	2	7	0
LOC101928105	0	1	0	0	0	2
LOC101928107	0	0	0	0	0	0
LOC101928118	1	4	3	6	2	2
LOC101928128	0	0	0	0	0	0
LOC101928131	0	1	0	0	0	0
LOC101928134	0	0	0	0	0	0
LOC101928135	0	0	0	0	0	0
LOC101928137	7.13	31.1	10.26	21	7.33	10
LOC101928140	1	0	1	1	0	0
LOC101928150	54.64	264.56	138.43	154.13	57.21	140.15
LOC101928161	0	0	0	0	0	0
LOC101928162	0	0	0	0	0	0
LOC101928163	0	1	2	1	3	1
LOC101928167	0	0	0	0	0	0
LOC101928168	0	0	0	0	0	0
LOC101928174	0	3.03	2	0	1	0
LOC101928191	0	0	0	0	0	0
LOC101928201	0	0	0	0	0	0
LOC101928203	0	0	0	0	0	0
LOC101928205	0	0	0	0	0	0
LOC101928211	0	0	0	0	0	0
LOC101928222	0	2	1	1	0	0
LOC101928223	0	0	1	0	0	0
LOC101928226	0	0	0	0	0	0
LOC101928227	0	0	0	0	0	0
LOC101928231	0	0	0	0	0	1
LOC101928233	0	0	0	0	0	0
LOC101928241	0	0	0	0	0	0
LOC101928253	0	0	0	0	0	0
LOC101928254	1	0	0	0	1	0
LOC101928259	0	0	0	0	0	0
LOC101928266	0	0	0	2	0	0
LOC101928269	0	0	0	0	0	0
LOC101928270	0	0	0	0	0	0
LOC101928272	0	1	0	0	0	0
LOC101928273	0	0	0	0	0	0
LOC101928279	6	4	2	2	1	1
LOC101928280	0	0	0	0	0	0
LOC101928283	0	0	0	0	0	0
LOC101928295	5.07	12	6	11.5	3	5.5
LOC101928298	0	0	0	0	0	0
LOC101928303	5	5.99	3.93	2.01	3.02	3.76
LOC101928304	0	0	0	0	0	0
LOC101928306	0	0	0	0	0	0
LOC101928307	0	0	0	0	0	0
LOC101928314	0	0	0	0	0	0
LOC101928322	0	0	0	0	0	0
LOC101928323	1	0	0	1	0	1
LOC101928324	1	5	2	3	3	2
LOC101928327	0	0	0	0	0	0
LOC101928333	0	0	0	0	0	0
LOC101928335	0	0	0	0	0	0
LOC101928336	12.05	24.81	14.99	14.99	11.97	17.99
LOC101928353	0	0	0	0	0	0
LOC101928358	1	0	0	0	0	0
LOC101928370	108.6	84	46	46.01	76	88
LOC101928371	0	0	2.13	0	0	0
LOC101928372	17.01	21.32	14	17	18.9	16
LOC101928381	0	0	0	0	0	1
LOC101928386	0	0	0	0	0	0
LOC101928398	0	0	0	0	0	0
LOC101928401	1	0.98	0	0	0	3
LOC101928402	0	0	1	0	0	1
LOC101928404	0	0	0	0	0	0
LOC101928414	2	2	2	0	1	1
LOC101928416	0	0	0	0	0	0
LOC101928417	0	0	0	0	0	0
LOC101928418	0	0	0	0	0	0
LOC101928435	0	0	0	0	0	0
LOC101928436	0	0	0	0	0	0
LOC101928437	0	0	0	0	0	0
LOC101928438	0	0	0	0	0	0
LOC101928441	0	0	0	0	0	0
LOC101928443	0	0	0	0	0	0
LOC101928445	2	1	0	1	0	4
LOC101928446	0	1	0	1	0	1
LOC101928449	0	0	0	0	0	0
LOC101928453	0	0	0	0	0	0
LOC101928460	0	0	0	0	0	0
LOC101928461	0	0	0	0	1	0
LOC101928471	0	0	0	0	0	0
LOC101928476	0	0	0	0	0	0
LOC101928489	6	2	1	0	8	0
LOC101928491	0	0	0	0	0	0
LOC101928495	0	1	0	0	0	0
LOC101928505	0	0	0	0	0	0
LOC101928509	0	0	0	0	0	0
LOC101928514	6	15.08	3.63	5	3	10.44
LOC101928516	0	0	0	0	0	0
LOC101928517	0	0	0	0	1	0
LOC101928519	0	0	0	0	0	0
LOC101928523	0	0	0	0	0	0
LOC101928525	0	14	3	9	6.02	5
LOC101928530	0	3	1	1	4	1
LOC101928535	0	0	0	0	0	0
LOC101928539	0	0	0	0	0	0
LOC101928540	0	0	0	0	0	0
LOC101928551	0	0	0	0	0	0
LOC101928564	0	0	0	0	0	0
LOC101928565	0	0	0	0	0	0
LOC101928567	0	0	0	0	0	0
LOC101928569	0	0	0	0	0	0
LOC101928580	0	0	0	0	0	0
LOC101928590	0	0	0	0	0	0
LOC101928597	0	1	3	1	0	3
LOC101928600	13.96	33	19.02	19	28	18.08
LOC101928605	72.4	49.49	80.12	58.11	99.21	53.03
LOC101928618	0	0	0	0	0	0
LOC101928622	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0
LOC101928650	0	0	0	0	0	0
LOC101928651	0	0	0	0	0	0
LOC101928661	0	0	0	0	0	0
LOC101928663	0	0	0	0	0	0
LOC101928673	29	44.57	26	16	22	24
LOC101928674	0	1	0	0	0	0
LOC101928682	1	0	0	0	0	0
LOC101928694	1.11	0	0	1	0	0
LOC101928696	0	0	0	0	0	0
LOC101928697	2	8	4	5	2	6
LOC101928700	0	0	0	0	0	0
LOC101928708	0	0	0	0	0	0
LOC101928710	30	28.01	11	20	27	36
LOC101928718	0	0	0	0	0	0
LOC101928730	0	0	0	0	0	0
LOC101928731	0	0	1	1	0	0
LOC101928737	0	0	0	0	0	0
LOC101928738	1	0	0	0	0	0
LOC101928739	0	0	0	0	0	0
LOC101928748	0	0	0	0	0	0
LOC101928751	0	0	0	0	0	0
LOC101928766	2	0	1	0	1	1
LOC101928767	7	13	8	8	5	4
LOC101928769	0	0	0	0	0	0
LOC101928775	0	0	0	0	0	0
